Código,Descripción,Tipo Descripción
T174,CUERPO EXTRANO EN LA TRAQUEA,Diagnóstico (CIEX)
T175,CUERPO EXTRANO EN BRONQUIOS,Diagnóstico (CIEX)
T178,CUERPO EXTRANO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS RESPIRATORIAS,Diagnóstico (CIEX)
T179,"CUERPO EXTRANO EN LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T180,CUERPO EXTRANO EN LA BOCA,Diagnóstico (CIEX)
T181,CUERPO EXTRANO EN EL ESOFAGO,Diagnóstico (CIEX)
T183,CUERPO EXTRANO EN EL INTESTINO DELGADO,Diagnóstico (CIEX)
T184,CUERPO EXTRANO EN EL COLON,Diagnóstico (CIEX)
T185,CUERPO EXTRANO EN EL ANO Y EN EL RECTO,Diagnóstico (CIEX)
T182,CUERPO EXTRANO EN EL ESTOMAGO,Diagnóstico (CIEX)
T188,CUERPO EXTRANO EN OTRAS Y EN MULTIPLES PARTES DEL TUBO DIGESTIVO,Diagnóstico (CIEX)
T189,"CUERPO EXTRANO EN EL TUBO DIGESTIVO, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T190,CUERPO EXTRANO EN LA URETRA,Diagnóstico (CIEX)
T191,CUERPO EXTRANO EN LA VEJIGA,Diagnóstico (CIEX)
T201,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",Diagnóstico (CIEX)
T202,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T192,CUERPO EXTRANO EN LA VULVA Y EN LA VAGINA,Diagnóstico (CIEX)
T200,"QUEMADURA DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T193,CUERPO EXTRANO EN EL UTERO [CUALQUIER PARTE],Diagnóstico (CIEX)
T198,CUERPO EXTRANO EN OTRAS Y EN MULTIPLES PARTES DE LAS VIAS GENITOURINARIAS,Diagnóstico (CIEX)
T199,"CUERPO EXTRANO EN LAS VIAS GENITOURINARIAS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T204,"CORROSION DE LA CABEZA Y DEL CUELLO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T205,"CORROSION DE LA CABEZA Y DEL CUELLO, DE PRIMER GRADO",Diagnóstico (CIEX)
T203,"QUEMADURA DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO",Diagnóstico (CIEX)
T206,"CORROSION DE LA CABEZA Y DEL CUELLO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T207,"CORROSION DE LA CABEZA Y DEL CUELLO, DE TERCER GRADO",Diagnóstico (CIEX)
T210,"QUEMADURA DEL TRONCO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T211,"QUEMADURA DEL TRONCO, DE PRIMER GRADO",Diagnóstico (CIEX)
T212,"QUEMADURA DEL TRONCO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T213,"QUEMADURA DEL TRONCO, DE TERCER GRADO",Diagnóstico (CIEX)
T214,"CORROSION DEL TRONCO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T215,"CORROSION DEL TRONCO, DE PRIMER GRADO",Diagnóstico (CIEX)
T216,"CORROSION DEL TRONCO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T217,"CORROSION DEL TRONCO, DE TERCER GRADO",Diagnóstico (CIEX)
T220,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUNECA Y D",Diagnóstico (CIEX)
T221,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUNECA Y DE LA M",Diagnóstico (CIEX)
T222,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUNECA Y DE LA",Diagnóstico (CIEX)
T224,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, GRADO NO ESPECIFICADO, EXCEPTO DE LA MUNECA Y D",Diagnóstico (CIEX)
T225,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE PRIMER GRADO, EXCEPTO DE LA MUNECA Y DE LA M",Diagnóstico (CIEX)
T223,"QUEMADURA DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUNECA Y DE LA M",Diagnóstico (CIEX)
T226,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE SEGUNDO GRADO, EXCEPTO DE LA MUNECA Y DE LA",Diagnóstico (CIEX)
T227,"CORROSION DEL HOMBRO Y MIEMBRO SUPERIOR, DE TERCER GRADO, EXCEPTO DE LA MUNECA Y DE LA M",Diagnóstico (CIEX)
T230,"QUEMADURA DE LA MUNECA Y DE LA MANO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T231,"QUEMADURA DE LA MUNECA Y DE LA MANO, DE PRIMER GRADO",Diagnóstico (CIEX)
T232,"QUEMADURA DE LA MUNECA Y DE LA MANO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T233,"QUEMADURA DE LA MUNECA Y DE LA MANO, DE TERCER GRADO",Diagnóstico (CIEX)
T234,"CORROSION DE LA MUNECA Y DE LA MANO, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T235,"CORROSION DE LA MUNECA Y DE LA MANO, DE PRIMER GRADO",Diagnóstico (CIEX)
T236,"CORROSION DE LA MUNECA Y DE LA MANO, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T237,"CORROSION DE LA MUNECA Y DE LA MANO, DE TERCER GRADO",Diagnóstico (CIEX)
T242,"QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T243,"QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T240,"QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T241,"QUEMADURA DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T244,"CORROSION DE LA CADERA Y MIEMBRO INFERIOR, GRADO NO ESPECIFICADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T245,"CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE PRIMER GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T246,"CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE SEGUNDO GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T247,"CORROSION DE LA CADERA Y MIEMBRO INFERIOR, DE TERCER GRADO, EXCEPTO TOBILLO Y PIE",Diagnóstico (CIEX)
T250,"QUEMADURA DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T251,"QUEMADURA DEL TOBILLO Y DEL PIE, DE PRIMER GRADO",Diagnóstico (CIEX)
T252,"QUEMADURA DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T253,"QUEMADURA DEL TOBILLO Y DEL PIE, DE TERCER GRADO",Diagnóstico (CIEX)
T254,"CORROSION DEL TOBILLO Y DEL PIE, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T255,"CORROSION DEL TOBILLO Y DEL PIE, DE PRIMER GRADO",Diagnóstico (CIEX)
T256,"CORROSION DEL TOBILLO Y DEL PIE, DE SEGUNDO GRADO",Diagnóstico (CIEX)
T257,"CORROSION DEL TOBILLO Y DEL PIE, DE TERCER GRADO",Diagnóstico (CIEX)
T260,QUEMADURA DEL PARPADO Y AREA PERIOCULAR,Diagnóstico (CIEX)
T261,QUEMADURA DE LA CORNEA Y SACO CONJUNTIVAL,Diagnóstico (CIEX)
T262,QUEMADURA CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR,Diagnóstico (CIEX)
T263,QUEMADURA DE OTRAS PARTES DEL OJO Y SUS ANEXOS,Diagnóstico (CIEX)
T264,"QUEMADURA DEL OJO Y ANEXOS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T265,CORROSION DEL PARPADO Y AREA PERIOCULAR,Diagnóstico (CIEX)
T266,CORROSION DE LA CORNEA Y SACO CONJUNTIVAL,Diagnóstico (CIEX)
T267,CORROSION CON RUPTURA Y DESTRUCCION RESULTANTES DEL GLOBO OCULAR,Diagnóstico (CIEX)
T268,CORROSION DE OTRAS PARTES DEL OJO Y SUS ANEXOS,Diagnóstico (CIEX)
T269,"CORROSION DEL OJO Y SUS ANEXOS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T270,QUEMADURA DE LA LARINGE Y DE LA TRAQUEA,Diagnóstico (CIEX)
T271,QUEMADURA QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON,Diagnóstico (CIEX)
T272,QUEMADURA DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS,Diagnóstico (CIEX)
T273,"QUEMADURA DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T274,CORROSION DE LA LARINGE Y DE LA TRAQUEA,Diagnóstico (CIEX)
T275,CORROSION QUE AFECTA LA LARINGE Y LA TRAQUEA CON EL PULMON,Diagnóstico (CIEX)
T276,CORROSION DE OTRAS PARTES DE LAS VIAS RESPIRATORIAS,Diagnóstico (CIEX)
T277,"CORROSION DE LAS VIAS RESPIRATORIAS, PARTE NO ESPECIFICADA",Diagnóstico (CIEX)
T280,QUEMADURA DE LA BOCA Y DE LA FARINGE,Diagnóstico (CIEX)
T281,QUEMADURA DEL ESOFAGO,Diagnóstico (CIEX)
T282,QUEMADURA DE OTRAS PARTES DEL TUBO DIGESTIVO,Diagnóstico (CIEX)
T283,QUEMADURA DE ORGANOS GENITOURINARIOS INTERNOS,Diagnóstico (CIEX)
T288,CORROSION DE ORGANOS GENITOURINARIOS INTERNOS,Diagnóstico (CIEX)
T289,CORROSION DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T284,QUEMADURA DE OTROS ORGANOS INTERNOS Y DE LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T287,CORROSION DE OTRAS PARTES DEL TUBO DIGESTIVO,Diagnóstico (CIEX)
T285,CORROSION DE LA BOCA Y DE LA FARINGE,Diagnóstico (CIEX)
T290,"QUEMADURAS DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T286,CORROSION DEL ESOFAGO,Diagnóstico (CIEX)
T293,"QUEMADURAS MULTIPLES, CON MENCION AL MENOS DE UNA QUEMADURA DE TERCER GRADO",Diagnóstico (CIEX)
T294,"CORROSIONES DE MULTIPLES REGIONES, GRADO NO ESPECIFICADO",Diagnóstico (CIEX)
T295,"CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO",Diagnóstico (CIEX)
T291,"QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE PRIMER GRADO",Diagnóstico (CIEX)
T292,"QUEMADURAS DE MULTIPLES REGIONES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO",Diagnóstico (CIEX)
T296,"CORROSIONES MULTIPLES, MENCIONADAS COMO DE NO MAS DE SEGUNDO GRADO",Diagnóstico (CIEX)
T297,"CORROSIONES MULTIPLES, CON MENCION AL MENOS DE UNA CORROSION DE TERCER GRADO",Diagnóstico (CIEX)
T300,QUEMADURA DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,Diagnóstico (CIEX)
T301,"QUEMADURA DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T304,CORROSION DE REGION DEL CUERPO Y GRADO NO ESPECIFICADOS,Diagnóstico (CIEX)
T305,"CORROSION DE PRIMER GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T302,"QUEMADURA DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T303,"QUEMADURA DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T306,"CORROSION DE SEGUNDO GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T307,"CORROSION DE TERCER GRADO, REGION DEL CUERPO NO ESPECIFICADA",Diagnóstico (CIEX)
T310,QUEMADURAS QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T311,QUEMADURAS QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T312,QUEMADURAS QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T313,QUEMADURAS QUE AFECTAN DEL 30 AL 39% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T314,QUEMADURAS QUE AFECTAN DEL 40 AL 49% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T315,QUEMADURAS QUE AFECTAN DEL 50 AL 59% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T316,QUEMADURAS QUE AFECTAN DEL 60 AL 69% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T317,QUEMADURAS QUE AFECTAN DEL 70 AL 79% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T318,QUEMADURAS QUE AFECTAN DEL 80 AL 89% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T319,QUEMADURAS QUE AFECTAN EL 90% O MAS DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T320,CORROSIONES QUE AFECTAN MENOS DEL 10% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T321,CORROSIONES QUE AFECTAN DEL 10 AL 19% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T322,CORROSIONES QUE AFECTAN DEL 20 AL 29% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T323,CORROSIONES QUE AFECTAN DEL 30 AL 39% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T324,CORROSIONES QUE AFECTAN DEL 40 AL 49% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T325,CORROSIONES QUE AFECTAN DEL 50 AL 59% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T326,CORROSIONES QUE AFECTAN DEL 60 AL 69% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T329,CORROSIONES QUE AFECTAN EL 90% O MAS DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T330,CONGELAMIENTO SUPERFICIAL DE LA CABEZA,Diagnóstico (CIEX)
T327,CORROSIONES QUE AFECTAN DEL 70 AL 79% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T328,CORROSIONES QUE AFECTAN DEL 80 AL 89% DE LA SUPERFICIE DEL CUERPO,Diagnóstico (CIEX)
T331,CONGELAMIENTO SUPERFICIAL DEL CUELLO,Diagnóstico (CIEX)
T333,"CONGELAMIENTO SUPERFICIAL DE LA PARED ABDOMINAL, REGION LUMBOSACRA Y PELVIS",Diagnóstico (CIEX)
T334,CONGELAMIENTO SUPERFICIAL DEL BRAZO,Diagnóstico (CIEX)
T332,CONGELAMIENTO SUPERFICIAL DEL TORAX,Diagnóstico (CIEX)
T335,CONGELAMIENTO SUPERFICIAL DE LA MUNECA Y DE LA MANO,Diagnóstico (CIEX)
T336,CONGELAMIENTO SUPERFICIAL DE LA CADERA Y DEL MUSLO,Diagnóstico (CIEX)
T337,CONGELAMIENTO SUPERFICIAL DE LA RODILLA Y DE LA PIERNA,Diagnóstico (CIEX)
T338,CONGELAMIENTO SUPERFICIAL DEL TOBILLO Y DEL PIE,Diagnóstico (CIEX)
T339,CONGELAMIENTO SUPERFICIAL DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T340,CONGELAMIENTO CON NECROSIS TISULAR DE LA CABEZA,Diagnóstico (CIEX)
T341,CONGELAMIENTO CON NECROSIS TISULAR DEL CUELLO,Diagnóstico (CIEX)
T342,CONGELAMIENTO CON NECROSIS TISULAR DEL TORAX,Diagnóstico (CIEX)
T343,"CONGELAMIENTO CON NECROSIS TISULAR DE LA PARED ABDOMINAL, REGION LUMBOSACRA Y PELVIS",Diagnóstico (CIEX)
T344,CONGELAMIENTO CON NECROSIS TISULAR DEL BRAZO,Diagnóstico (CIEX)
T345,CONGELAMIENTO CON NECROSIS TISULAR DE LA MUNECA Y DE LA MANO,Diagnóstico (CIEX)
T346,CONGELAMIENTO CON NECROSIS TISULAR DE LA CADERA Y DEL MUSLO,Diagnóstico (CIEX)
T347,CONGELAMIENTO CON NECROSIS TISULAR DE LA RODILLA Y DE LA PIERNA,Diagnóstico (CIEX)
T348,CONGELAMIENTO CON NECROSIS TISULAR DEL TOBILLO Y DEL PIE,Diagnóstico (CIEX)
T349,CONGELAMIENTO CON NECROSIS TISULAR DE OTROS SITIOS Y DE LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T350,CONGELAMIENTO SUPERFICIAL QUE AFECTA MULTIPLES REGIONES DEL CUERPO,Diagnóstico (CIEX)
T351,CONGELAMIENTO CON NECROSIS TISULAR QUE AFECTA MULTIPLES REGIONES DEL CUERPO,Diagnóstico (CIEX)
T352,CONGELAMIENTO NO ESPECIFICADO DE LA CABEZA Y DEL CUELLO,Diagnóstico (CIEX)
T355,CONGELAMIENTO NO ESPECIFICADO DEL MIEMBRO INFERIOR,Diagnóstico (CIEX)
T356,CONGELAMIENTO NO ESPECIFICADO QUE AFECTA MULTIPLES REGIONES DEL CUERPO,Diagnóstico (CIEX)
T353,"CONGELAMIENTO NO ESPECIFICADO DEL TORAX, DEL ABDOMEN, DE LA REGION LUMBOSACRA Y DE LA PE",Diagnóstico (CIEX)
T354,CONGELAMIENTO NO ESPECIFICADO DEL MIEMBRO SUPERIOR,Diagnóstico (CIEX)
T357,"CONGELAMIENTO NO ESPECIFICADO, DE SITIO NO ESPECIFICADO",Diagnóstico (CIEX)
T360,PENICILINAS,Diagnóstico (CIEX)
T361,CEFALOSPORINAS Y OTROS ANTIBIOTICOS BETA-LACTAMICOS,Diagnóstico (CIEX)
T362,GRUPO DEL CLORAMFENICOL,Diagnóstico (CIEX)
T363,MACROLIDOS,Diagnóstico (CIEX)
T364,TETRACICLINAS,Diagnóstico (CIEX)
T365,AMINOGLUCOSIDOS,Diagnóstico (CIEX)
T366,RIFAMICINAS,Diagnóstico (CIEX)
T368,OTROS ANTIBIOTICOS SISTEMICOS,Diagnóstico (CIEX)
T369,"ANTIBIOTICOS SISTEMICOS, NO ESPECIFICADOS",Diagnóstico (CIEX)
T367,ANTIBIOTICOS ANTIMICOTICOS USADOS SISTEMICAMENTE,Diagnóstico (CIEX)
T370,SULFONAMIDAS,Diagnóstico (CIEX)
T371,DROGAS ANTIMICOBACTERIANAS,Diagnóstico (CIEX)
T374,ANTIHELMINTICOS,Diagnóstico (CIEX)
T375,DROGAS ANTIVIRALES,Diagnóstico (CIEX)
T378,OTROS ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS ESPECIFICADOS,Diagnóstico (CIEX)
T372,ANTIPALUDICOS Y DROGAS DE ACCION CONTRA OTROS PROTOZOARIOS SANGUINEOS,Diagnóstico (CIEX)
T373,OTRAS DROGAS ANTIPROTOZOARIAS,Diagnóstico (CIEX)
T379,"ANTIINFECCIOSOS Y ANTIPARASITARIOS SISTEMICOS, NO ESPECIFICADOS",Diagnóstico (CIEX)
T380,GLUCOCORTICOIDES Y ANALOGOS SINTETICOS,Diagnóstico (CIEX)
T381,HORMONAS TIROIDEAS Y SUSTITUTOS,Diagnóstico (CIEX)
T382,DROGAS ANTITIROIDEAS,Diagnóstico (CIEX)
T383,INSULINA Y DROGAS HIPOGLUCEMIANTES ORALES [ANTIDIABETICAS],Diagnóstico (CIEX)
T384,ANTICONCEPTIVOS ORALES,Diagnóstico (CIEX)
T385,OTROS ESTROGENOS Y PROGESTOGENOS,Diagnóstico (CIEX)
T386,"ANTIGONADOTROFINAS, ANTIESTROGENOS Y ANTIANDROGENOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T387,ANDROGENOS Y SUS CONGENERES ANABOLICOS,Diagnóstico (CIEX)
T388,OTRAS HORMONAS Y SUSTITUTOS SINTETICOS Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T389,OTROS ANTAGONISTAS DE LAS HORMONAS Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T390,SALICILATOS,Diagnóstico (CIEX)
T392,DERIVADOS DE LA PIRAZOLONA,Diagnóstico (CIEX)
T393,OTRAS DROGAS ANTIINFLAMATORIAS NO ESTEROIDEAS [DAINE],Diagnóstico (CIEX)
T391,DERIVADOS DEL PARAAMINOFENOL,Diagnóstico (CIEX)
T394,"ANTIRREUMATICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T401,HEROINA,Diagnóstico (CIEX)
T402,OTROS OPIACEOS,Diagnóstico (CIEX)
T398,"OTROS ANALGESICOS NO NARCOTICOS Y ANTIPIRETICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T399,"ANALGESICOS NO NARCOTICOS, ANTIPIRETICOS Y ANTIRREUMATICOS, NO ESPECIFICADOS",Diagnóstico (CIEX)
T400,OPIO,Diagnóstico (CIEX)
T403,METADONA,Diagnóstico (CIEX)
T404,OTROS NARCOTICOS SINTETICOS,Diagnóstico (CIEX)
T405,COCAINA,Diagnóstico (CIEX)
T406,OTROS NARCOTICOS Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T407,CANNABIS (DERIVADOS),Diagnóstico (CIEX)
T408,ACIDO LISERGICO [LSD],Diagnóstico (CIEX)
T409,OTROS PSICODISLEPTICOS Y LOS NO ESPECIFICADOS [ALUCINOGENOS],Diagnóstico (CIEX)
T410,ANESTESICOS POR INHALACION,Diagnóstico (CIEX)
T411,ANESTESICOS INTRAVENOSOS,Diagnóstico (CIEX)
T412,OTROS ANESTESICOS GENERALES Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T413,ANESTESICOS LOCALES,Diagnóstico (CIEX)
T414,"ANESTESICOS, NO ESPECIFICADOS",Diagnóstico (CIEX)
T415,GASES TERAPEUTICOS,Diagnóstico (CIEX)
T420,DERIVADOS DE LA HIDANTOINA,Diagnóstico (CIEX)
T421,IMINOSTILBENOS,Diagnóstico (CIEX)
T422,SUCCINAMIDAS Y DERIVADOS DE LA OXAZOLIDINA,Diagnóstico (CIEX)
T423,BARBITURICOS,Diagnóstico (CIEX)
T424,BENZODIAZEPINAS,Diagnóstico (CIEX)
T426,OTROS ANTIEPILEPTICOS Y DROGAS HIPNOTICO-SEDANTES,Diagnóstico (CIEX)
T427,"ANTIEPILEPTICOS Y DROGAS HIPNOTICO-SEDANTES, NO ESPECIFICADOS",Diagnóstico (CIEX)
T425,"ANTIEPILEPTICOS MIXTOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T428,DROGAS ANTIPARKINSONIANAS Y OTROS DEPRESORES DEL TONO MUSCULAR CENTRAL,Diagnóstico (CIEX)
T430,ANTIDEPRESIVOS TRICICLICOS Y TETRACICLICOS,Diagnóstico (CIEX)
T435,OTROS ANTIPSICOTICOS Y NEUROLEPTICOS Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T436,PSICOESTIMULANTES CON ABUSO POTENCIAL,Diagnóstico (CIEX)
T431,ANTIDEPRESIVOS INHIBIDORES DE LA MONOAMINOXIDASA,Diagnóstico (CIEX)
T432,OTROS ANTIDEPRESIVOS Y LOS NO ESPECIFICADOS,Diagnóstico (CIEX)
T433,ANTIPSICOTICOS Y NEUROLEPTICOS FENOTIACINICOS,Diagnóstico (CIEX)
T434,BUTIROFENONA Y NEUROLEPTICOS TIOXANTENICOS,Diagnóstico (CIEX)
T438,"OTRAS DROGAS PSICOTROPICAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T439,"DROGA PSICOTROPICA, NO ESPECIFICADA",Diagnóstico (CIEX)
T440,AGENTES ANTICOLINESTERASA,Diagnóstico (CIEX)
T441,OTROS PARASIMPATICOMIMETICOS [COLINERGICOS],Diagnóstico (CIEX)
T442,"DROGAS BLOQUEADORAS GANGLIONARES, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T443,"OTROS PARASIMPATICOLITICOS [ANTICOLINERGICOS Y ANTIMUSCARINICOS] Y ESPASMOLITICOS, NO CL",Diagnóstico (CIEX)
T444,"AGONISTAS, PREDOMINANTEMENTE ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T445,"AGONISTAS, PREDOMINANTEMENTE BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T446,"ANTAGONISTAS ALFA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T447,"ANTAGONISTAS BETA-ADRENERGICOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
T448,"AGENTES DE ACCION CENTRAL Y BLOQUEADORES NEURONALES ADRENERGICOS, NO CLASIFICADOS EN OTR",Diagnóstico (CIEX)
T449,OTRAS DROGAS Y LAS NO ESPECIFICADAS QUE AFECTAN PRINCIPALMENTE EL SISTEMA NERVIOSO AUTON,Diagnóstico (CIEX)
T450,DROGAS ANTIALERGICAS Y ANTIEMETICAS,Diagnóstico (CIEX)
T452,"VITAMINAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T453,"ENZIMAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T454,HIERRO Y SUS COMPUESTOS,Diagnóstico (CIEX)
T455,ANTICOAGULANTES,Diagnóstico (CIEX)
T456,DROGAS QUE AFECTAN LA FIBRINOLISIS,Diagnóstico (CIEX)
T457,"ANTAGONISTAS DE ANTICOAGULANTES, VITAMINA K Y OTROS COAGULANTES",Diagnóstico (CIEX)
T451,DROGAS ANTINEOPLASICAS E INMUNOSUPRESORAS,Diagnóstico (CIEX)
T458,OTROS AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS,Diagnóstico (CIEX)
T459,"AGENTES PRINCIPALMENTE SISTEMICOS Y HEMATOLOGICOS, NO ESPECIFICADOS",Diagnóstico (CIEX)
T460,GLUCOSIDOS CARDIOTONICOS Y MEDICAMENTOS DE ACCION SIMILAR,Diagnóstico (CIEX)
T464,INHIBIDORES DE LA ENZIMA CONVERTIDORA DE LA ANGIOTENSINA,Diagnóstico (CIEX)
T465,"OTRAS DROGAS ANTIHIPERTENSIVAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T461,BLOQUEADORES DEL CANAL DEL CALCIO,Diagnóstico (CIEX)
T462,"OTRAS DROGAS ANTIARRITMICAS, NO CLASIFICADAS EN OTRA PARTE",Diagnóstico (CIEX)
T466,DROGAS ANTILIPEMICAS Y ANTIARTERIOSCLEROTICAS,Diagnóstico (CIEX)
T467,VASODILATADORES PERIFERICOS,Diagnóstico (CIEX)
T463,"VASODILATADORES CORONARIOS, NO CLASIFICADOS EN OTRA PARTE",Diagnóstico (CIEX)
