Código,Descripción,Tipo Descripción
A308,OTRAS FORMAS DE LEPRA,Diagnóstico (CIEX)
A309,"LEPRA, NO ESPECIFICADA",Diagnóstico (CIEX)
A302,LEPRA TUBERCULOIDE LIMITROFE,Diagnóstico (CIEX)
A303,LEPRA LIMITROFE,Diagnóstico (CIEX)
A304,LEPRA LEPROMATOSA LIMITROFE,Diagnóstico (CIEX)
A305,LEPRA LEPROMATOSA,Diagnóstico (CIEX)
A311,INFECCION CUTANEA POR MICOBACTERIAS,Diagnóstico (CIEX)
A318,OTRAS INFECCIONES POR MICOBACTERIAS,Diagnóstico (CIEX)
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,Diagnóstico (CIEX)
A319,"INFECCION POR MICOBACTERIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A327,SEPTICEMIA LISTERIANA,Diagnóstico (CIEX)
A328,OTRAS FORMAS DE LISTERIOSIS,Diagnóstico (CIEX)
A329,"LISTERIOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
A320,LISTERIOSIS CUTANEA,Diagnóstico (CIEX)
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,Diagnóstico (CIEX)
A33X,TETANOS NEONATAL,Diagnóstico (CIEX)
A34X,TETANOS OBSTETRICO,Diagnóstico (CIEX)
A35X,OTROS TETANOS,Diagnóstico (CIEX)
A360,DIFTERIA FARINGEA,Diagnóstico (CIEX)
A361,DIFTERIA NASOFARINGEA,Diagnóstico (CIEX)
A369,"DIFTERIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A362,DIFTERIA LARINGEA,Diagnóstico (CIEX)
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,Diagnóstico (CIEX)
A368,OTRAS DIFTERIAS,Diagnóstico (CIEX)
A363,DIFTERIA CUTANEA,Diagnóstico (CIEX)
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,Diagnóstico (CIEX)
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,Diagnóstico (CIEX)
A379,"TOS FERINA, NO ESPECIFICADA",Diagnóstico (CIEX)
A390,MENINGITIS MENINGOCOCICA (G01*),Diagnóstico (CIEX)
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*),Diagnóstico (CIEX)
A38X,ESCARLATINA,Diagnóstico (CIEX)
A392,MENINGOCOCEMIA AGUDA,Diagnóstico (CIEX)
A393,MENINGOCOCEMIA CRONICA,Diagnóstico (CIEX)
A394,"MENINGOCOCEMIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,Diagnóstico (CIEX)
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCÓCICA,Diagnóstico (CIEX)
A399,"ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA",Diagnóstico (CIEX)
A400,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A",Diagnóstico (CIEX)
A402,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D",Diagnóstico (CIEX)
A403,SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE,Diagnóstico (CIEX)
A401,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B",Diagnóstico (CIEX)
A408,OTRAS SEPTICEMIAS ESTREPTOCOCICAS,Diagnóstico (CIEX)
A414,SEPTICEMIA DEBIDA A ANAEROBIOS,Diagnóstico (CIEX)
A415,SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,Diagnóstico (CIEX)
A410,SEPTICEMIA DEBIDA A STAPHYLOCOCCUS AUREUS,Diagnóstico (CIEX)
A411,SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,Diagnóstico (CIEX)
A409,"SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA",Diagnóstico (CIEX)
A412,SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,Diagnóstico (CIEX)
A413,SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE,Diagnóstico (CIEX)
A418,OTRAS SEPTICEMIAS ESPECIFICADAS,Diagnóstico (CIEX)
A419,"SEPTICEMIA, NO ESPECIFICADA",Diagnóstico (CIEX)
A420,ACTINOMICOSIS PULMONAR,Diagnóstico (CIEX)
A421,ACTINOMICOSIS ABDOMINAL,Diagnóstico (CIEX)
A422,ACTINOMICOSIS CERVICOFACIAL,Diagnóstico (CIEX)
A427,SEPTICEMIA ACTINOMICOTICA,Diagnóstico (CIEX)
A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A430,NOCARDIOSIS PULMONAR,Diagnóstico (CIEX)
A431,NOCARDIOSIS CUTANEA,Diagnóstico (CIEX)
A428,OTRAS FORMAS DE ACTINOMICOSIS,Diagnóstico (CIEX)
A438,OTRAS FORMAS DE NOCARDIOSIS,Diagnóstico (CIEX)
A440,BARTONELOSIS SISTEMICA (FIEBRE DE LA OROYA),Diagnóstico (CIEX)
A441,BARTONELOSIS CRONICA,Diagnóstico (CIEX)
A439,"NOCARDIOSIS, NO ESPECIFICADA",Diagnóstico (CIEX)
A448,OTRAS FORMAS DE BARTONELOSIS,Diagnóstico (CIEX)
A4482,BARTONELOSIS AGUDA COMPLICADA,Diagnóstico (CIEX)
A4483,BARTONELOSIS RESISTENTE,Diagnóstico (CIEX)
A449,BARTONELOSIS NO ESPECIFICADA,Diagnóstico (CIEX)
A4481,BARTONELOSIS AGUDA,Diagnóstico (CIEX)
A46X,ERISIPELA,Diagnóstico (CIEX)
A480,GANGRENA GASEOSA,Diagnóstico (CIEX)
A481,ENFERMEDAD DE LOS LEGIONARIOS,Diagnóstico (CIEX)
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC],Diagnóstico (CIEX)
A483,SINDROME DEL CHOQUE TOXICO,Diagnóstico (CIEX)
A484,FIEBRE PURPURICA BRASILENA,Diagnóstico (CIEX)
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,Diagnóstico (CIEX)
A490,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A491,"INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A492,"INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A493,"INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION",Diagnóstico (CIEX)
A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,Diagnóstico (CIEX)
A499,"INFECCION BACTERIANA, NO ESPECIFICADA",Diagnóstico (CIEX)
A500,"SIFILIS CONGENITA PRECOZ, SINTOMATICA",Diagnóstico (CIEX)
A501,"SIFILIS CONGENITA PRECOZ, LATENTE",Diagnóstico (CIEX)
